"Statistic Label","Year","Transport Traffic Site","Weeks of the year","UNIT","VALUE"
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 42","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 43","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 44","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 45","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 46","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 47","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 48","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 49","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 50","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 51","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 52","Number",""
"Average weekly volume of cars","2023","Selected traffic sites - Dublin","Week 53","Number",""
